""    ,"business_id"           ,"word1"     ,"word2"      ,"word3"      ,"word1_label","word2_label","word3_lable","suggestion1"                                                                              ,"suggestion2"                                                                              ,"suggestions3"                                                               ,"average_rating"
"1"   ,"KXCXaF5qimmtKKqnPc_LQA",NA          ,"coffee"     ,"chocolate"  ,NA           ,"food"       ,"food"       ,NA                                                                                         ,"You are doing well in food, specifically coffee.
Because comments related to coffeeis not statistically lower than your average ratings"    ,"You should offer more stable food quality, specifically chocolate.
Because there are many postive and negative comments related to chocolate."  ,"3.97732426303855"
"2"   ,"oaaeZ4BvMR9pHXYb5USEEQ",NA          ,"service"    ,"coffee"     ,NA           ,"service"    ,"food"       ,NA                                                                                         ,"You are doing well in service, specifically service.
Because comments related to serviceis not statistically lower than your average ratings"   ,"You should offer more stable food quality, specifically coffee.
Because there are many postive and negative comments related to coffee."     ,"3.84137931034483"
"3"   ,"JCgLWYjoPJlznzFEtnzqKg","breakfast" ,NA           ,"price"      ,"food"       ,NA           ,"food"       ,"You are doing well in food, specifically breakfast.
Because comments related to breakfastis not statistically lower than your average ratings" ,NA                                                                                         ,"You should offer more stable food quality, specifically price.
Because there are many postive and negative comments related to price."      ,"4"
"4"   ,"_QUh5vFHSuw8R_uiFZ7XKQ","service"   ,"chicken"    ,"sandwich"   ,"service"    ,"food"       ,"food"       ,"You should improve the quality of service, specifically service.
Because comments related to serviceis statistically lower than your average ratings"       ,"You are doing well in food, specifically chicken.
Because comments related to chickenis not statistically lower than your average ratings"   ,"You should improve the quality of food, specifically sandwich.
Because negative comments are mostly related to sandwich."              ,"3.92664359861592"
"5"   ,"SCwzUgW_RUdahXNObknkTg","service"   ,"dinner"     ,"brunch"     ,"service"    ,"food"       ,"food"       ,"You are doing well in service, specifically service.
Because comments related to serviceis not statistically lower than your average ratings"   ,"You are doing well in food, specifically dinner.
Because comments related to dinneris not statistically lower than your average ratings"    ,"You should improve the quality of food, specifically brunch.
Because negative comments are mostly related to brunch."                ,"4.37790697674419"
"6"   ,"C2-TNtNc___1tkYAmPgmWQ",NA          ,"service"    ,"breakfast"  ,NA           ,"service"    ,"food"       ,NA                                                                                         ,"You are doing well in service, specifically service.
Because comments related to serviceis not statistically lower than your average ratings"   ,"You should offer more stable food quality, specifically breakfast.
Because there are many postive and negative comments related to breakfast."  ,"3.76063829787234"
"7"   ,"GZgOQOlFVLgNMHBBjspHRw","wine"      ,NA           ,"beer"       ,"food"       ,NA           ,"food"       ,"You are doing well in food, specifically wine.
Because comments related to wineis not statistically lower than your average ratings"      ,NA                                                                                         ,"You should offer more stable food quality, specifically beer.
Because there are many postive and negative comments related to beer."       ,"4.34883720930233"
"8"   ,"J44x_m383C2GWtzj6xG1HA",NA          ,"chicken"    ,"service"    ,NA           ,"food"       ,"service"    ,NA                                                                                         ,"You are doing well in food, specifically chicken.
Because comments related to chickenis not statistically lower than your average ratings"   ,"You should offer more stable service quality, specifically service.
Because there are many postive and negative comments related to service."    ,"3.03030303030303"
"9"   ,"5P3b82EqZqR7lCqAYj-zaQ",NA          ,"service"    ,"breakfast"  ,NA           ,"service"    ,"food"       ,NA                                                                                         ,"You are doing well in service, specifically service.
Because comments related to serviceis not statistically lower than your average ratings"   ,"You should offer more stable food quality, specifically breakfast.
Because there are many postive and negative comments related to breakfast."  ,"4.52158273381295"
"10"  ,"rZOy9CG5oMQfadSuj_zwAw","breakfast" ,"service"    ,"lunch"      ,"food"       ,"service"    ,"food"       ,"You are doing well in food, specifically breakfast.
Because comments related to breakfastis not statistically lower than your average ratings" ,"You are doing well in service, specifically service.
Because comments related to serviceis not statistically lower than your average ratings"   ,"You should improve the quality of food, specifically lunch.
Because negative comments are mostly related to lunch."                 ,"3.73015873015873"
"11"  ,"vSDaI7j5peZnSrefkpCWvg","breakfast" ,"coffee"     ,"chicken"    ,"food"       ,"food"       ,"food"       ,"You are doing well in food, specifically breakfast.
Because comments related to breakfastis not statistically lower than your average ratings" ,"You are doing well in food, specifically coffee.
Because comments related to coffeeis not statistically lower than your average ratings"    ,"You should improve the quality of food, specifically chicken.
Because negative comments are mostly related to chicken."               ,"2.85714285714286"
"12"  ,"eZE0FdYB9rUvbuPS4fNyYA",NA          ,"brunch"     ,"breakfast"  ,NA           ,"food"       ,"food"       ,NA                                                                                         ,"You are doing well in food, specifically brunch.
Because comments related to brunchis not statistically lower than your average ratings"    ,"You should offer more stable food quality, specifically breakfast.
Because there are many postive and negative comments related to breakfast."  ,"4.28529839883552"
"13"  ,"hSFmjAeFlsltnIowdrembQ",NA          ,"service"    ,"breakfast"  ,NA           ,"service"    ,"food"       ,NA                                                                                         ,"You are doing well in service, specifically service.
Because comments related to serviceis not statistically lower than your average ratings"   ,"You should offer more stable food quality, specifically breakfast.
Because there are many postive and negative comments related to breakfast."  ,"4.25287356321839"
"14"  ,"MjpH-uP90jTUp_KqAOiBJg",NA          ,"dinner"     ,"service"    ,NA           ,"food"       ,"service"    ,NA                                                                                         ,"You are doing well in food, specifically dinner.
Because comments related to dinneris not statistically lower than your average ratings"    ,"You should offer more stable service quality, specifically service.
Because there are many postive and negative comments related to service."    ,"3.83253588516746"
"15"  ,"_g-wR8XPsjAn06mYvzgF-g",NA          ,"staff"      ,"coffee"     ,NA           ,"service"    ,"food"       ,NA                                                                                         ,"You are doing well in service, specifically staff.
Because comments related to staffis not statistically lower than your average ratings"     ,"You should offer more stable food quality, specifically coffee.
Because there are many postive and negative comments related to coffee."     ,"3.91282051282051"
"16"  ,"X3bKIX-3uk9970bNst49tA","breakfast" ,NA           ,"service"    ,"food"       ,NA           ,"service"    ,"You are doing well in food, specifically breakfast.
Because comments related to breakfastis not statistically lower than your average ratings" ,NA                                                                                         ,"You should offer more stable service quality, specifically service.
Because there are many postive and negative comments related to service."    ,"4.0453488372093"
"17"  ,"pNeu6UYHCFj3lTB-rznDgg",NA          ,"service"    ,"music"      ,NA           ,"service"    ,"environment",NA                                                                                         ,"You are doing well in service, specifically service.
Because comments related to serviceis not statistically lower than your average ratings"   ,"You should offer more stable environment quality, specifically music.
Because there are many postive and negative comments related to music."      ,"2.92"
"18"  ,"m9lY7-_STgR1zunqOY9G8g",NA          ,"pie"        ,"coffee"     ,NA           ,"food"       ,"food"       ,NA                                                                                         ,"You are doing well in food, specifically pie.
Because comments related to pieis not statistically lower than your average ratings"       ,"You should offer more stable food quality, specifically coffee.
Because there are many postive and negative comments related to coffee."     ,"3.83190883190883"
